construct_id,idr_seq_name,gfp_label,gfp_tag,Z_gfp,topology,N_idr,N_construct,ncpr_idr,fcr_idr,kappa_idr,nu_idr_free,linker,linker_len,fasta_path
Q86XK2_896_927__GFPp15__Ntail,Q86XK2_896_927,GFP+15,GFPp15,15,Ntail,32,247,-0.1875,0.1875,0.1322123544704131,0.602,,0,individual/Q86XK2_896_927__GFPp15__Ntail.fasta
Q86XK2_896_927__GFPp15__Ctail,Q86XK2_896_927,GFP+15,GFPp15,15,Ctail,32,247,-0.1875,0.1875,0.1322123544704131,0.602,,0,individual/Q86XK2_896_927__GFPp15__Ctail.fasta
Q86XK2_896_927__GFPp5__Ntail,Q86XK2_896_927,GFP+5,GFPp5,5,Ntail,32,247,-0.1875,0.1875,0.1322123544704131,0.602,,0,individual/Q86XK2_896_927__GFPp5__Ntail.fasta
Q86XK2_896_927__GFPp5__Ctail,Q86XK2_896_927,GFP+5,GFPp5,5,Ctail,32,247,-0.1875,0.1875,0.1322123544704131,0.602,,0,individual/Q86XK2_896_927__GFPp5__Ctail.fasta
Q86XK2_896_927__GFPm15__Ntail,Q86XK2_896_927,GFP-15,GFPm15,-15,Ntail,32,247,-0.1875,0.1875,0.1322123544704131,0.602,,0,individual/Q86XK2_896_927__GFPm15__Ntail.fasta
Q86XK2_896_927__GFPm15__Ctail,Q86XK2_896_927,GFP-15,GFPm15,-15,Ctail,32,247,-0.1875,0.1875,0.1322123544704131,0.602,,0,individual/Q86XK2_896_927__GFPm15__Ctail.fasta
Q9NNW5_711_743__GFPp15__Ntail,Q9NNW5_711_743,GFP+15,GFPp15,15,Ntail,33,248,-0.2121212121212121,0.2121212121212121,0.2276288569463055,0.588,,0,individual/Q9NNW5_711_743__GFPp15__Ntail.fasta
Q9NNW5_711_743__GFPp15__Ctail,Q9NNW5_711_743,GFP+15,GFPp15,15,Ctail,33,248,-0.2121212121212121,0.2121212121212121,0.2276288569463055,0.588,,0,individual/Q9NNW5_711_743__GFPp15__Ctail.fasta
Q9NNW5_711_743__GFPp5__Ntail,Q9NNW5_711_743,GFP+5,GFPp5,5,Ntail,33,248,-0.2121212121212121,0.2121212121212121,0.2276288569463055,0.588,,0,individual/Q9NNW5_711_743__GFPp5__Ntail.fasta
Q9NNW5_711_743__GFPp5__Ctail,Q9NNW5_711_743,GFP+5,GFPp5,5,Ctail,33,248,-0.2121212121212121,0.2121212121212121,0.2276288569463055,0.588,,0,individual/Q9NNW5_711_743__GFPp5__Ctail.fasta
Q9NNW5_711_743__GFPm15__Ntail,Q9NNW5_711_743,GFP-15,GFPm15,-15,Ntail,33,248,-0.2121212121212121,0.2121212121212121,0.2276288569463055,0.588,,0,individual/Q9NNW5_711_743__GFPm15__Ntail.fasta
Q9NNW5_711_743__GFPm15__Ctail,Q9NNW5_711_743,GFP-15,GFPm15,-15,Ctail,33,248,-0.2121212121212121,0.2121212121212121,0.2276288569463055,0.588,,0,individual/Q9NNW5_711_743__GFPm15__Ctail.fasta
Q8N448_555_585__GFPp15__Ntail,Q8N448_555_585,GFP+15,GFPp15,15,Ntail,31,246,-0.2258064516129032,0.2258064516129032,0.1864723069935648,0.595,,0,individual/Q8N448_555_585__GFPp15__Ntail.fasta
Q8N448_555_585__GFPp15__Ctail,Q8N448_555_585,GFP+15,GFPp15,15,Ctail,31,246,-0.2258064516129032,0.2258064516129032,0.1864723069935648,0.595,,0,individual/Q8N448_555_585__GFPp15__Ctail.fasta
Q8N448_555_585__GFPp5__Ntail,Q8N448_555_585,GFP+5,GFPp5,5,Ntail,31,246,-0.2258064516129032,0.2258064516129032,0.1864723069935648,0.595,,0,individual/Q8N448_555_585__GFPp5__Ntail.fasta
Q8N448_555_585__GFPp5__Ctail,Q8N448_555_585,GFP+5,GFPp5,5,Ctail,31,246,-0.2258064516129032,0.2258064516129032,0.1864723069935648,0.595,,0,individual/Q8N448_555_585__GFPp5__Ctail.fasta
Q8N448_555_585__GFPm15__Ntail,Q8N448_555_585,GFP-15,GFPm15,-15,Ntail,31,246,-0.2258064516129032,0.2258064516129032,0.1864723069935648,0.595,,0,individual/Q8N448_555_585__GFPm15__Ntail.fasta
Q8N448_555_585__GFPm15__Ctail,Q8N448_555_585,GFP-15,GFPm15,-15,Ctail,31,246,-0.2258064516129032,0.2258064516129032,0.1864723069935648,0.595,,0,individual/Q8N448_555_585__GFPm15__Ctail.fasta
P08581_1345_1390__GFPp15__Ntail,P08581_1345_1390,GFP+15,GFPp15,15,Ntail,46,261,-0.1521739130434782,0.2391304347826087,0.3651883887915482,0.584,,0,individual/P08581_1345_1390__GFPp15__Ntail.fasta
P08581_1345_1390__GFPp15__Ctail,P08581_1345_1390,GFP+15,GFPp15,15,Ctail,46,261,-0.1521739130434782,0.2391304347826087,0.3651883887915482,0.584,,0,individual/P08581_1345_1390__GFPp15__Ctail.fasta
P08581_1345_1390__GFPp5__Ntail,P08581_1345_1390,GFP+5,GFPp5,5,Ntail,46,261,-0.1521739130434782,0.2391304347826087,0.3651883887915482,0.584,,0,individual/P08581_1345_1390__GFPp5__Ntail.fasta
P08581_1345_1390__GFPp5__Ctail,P08581_1345_1390,GFP+5,GFPp5,5,Ctail,46,261,-0.1521739130434782,0.2391304347826087,0.3651883887915482,0.584,,0,individual/P08581_1345_1390__GFPp5__Ctail.fasta
P08581_1345_1390__GFPm15__Ntail,P08581_1345_1390,GFP-15,GFPm15,-15,Ntail,46,261,-0.1521739130434782,0.2391304347826087,0.3651883887915482,0.584,,0,individual/P08581_1345_1390__GFPm15__Ntail.fasta
P08581_1345_1390__GFPm15__Ctail,P08581_1345_1390,GFP-15,GFPm15,-15,Ctail,46,261,-0.1521739130434782,0.2391304347826087,0.3651883887915482,0.584,,0,individual/P08581_1345_1390__GFPm15__Ctail.fasta
Q8NG08_504_537__GFPp15__Ntail,Q8NG08_504_537,GFP+15,GFPp15,15,Ntail,34,249,-0.2647058823529412,0.3235294117647059,0.1498393443022468,0.611,,0,individual/Q8NG08_504_537__GFPp15__Ntail.fasta
